"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,401,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,349,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,38,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,6,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,64,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,108,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,101,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,101,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,6,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,4,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,17,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,27,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,6,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,4,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,17,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,84,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,65,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,2,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,4,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,12,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,18,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,2,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,4,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,12,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,218,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,207,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,25,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,16,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,41,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,25,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,16,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,91,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,77,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,5,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,6,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,6,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,17,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,67,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,58,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,1,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,10,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,11,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,1,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,10,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,72,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,64,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,2,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,3,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,6,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,11,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,2,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,3,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,6,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,116,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,3,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,6,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,11,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,93,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,85,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,9,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,8,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,15,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,32,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,9,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,8,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,15,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,115,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,113,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,13,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,3,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,13,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,29,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,13,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,3,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,13,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,90,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,79,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,6,,
