"Nom de la Station","L'ASSOMPTION"
"Province","QUÉBEC"
"Latitude","45,81"
"Longitude","-73,43"
"Altitude","21,00"
"ID climatologique","7014160"
"ID de l'OMM","71524"
"ID de TC","WEW"

"Légende"
"B","Plus d'une occurrence et estimatif"
"E","Valeur estimée"
"M","Données manquantes"
"S","Plus d'une occurrence"
"T","Trace"
"[vide]","Aucune donnée disponible"
"^","La valeur affichée est basée sur des données incomplètes"

"Date/Heure","Année","Mois","Temp max.moy.(°C)","Temp max. moy. Indicateur","Temp min.moy.(°C)","Temp min. moy. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","Temp max.ext.(°C)","Temp max. ext. Indicateur","Temp min.ext.(°C)","Temp min. ext. Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol, dernier jour (cm)","Neige au sol, dernier jour Indicateur","Dir. raf. max. (10's deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"1930-01","1930","01","-4,3","","-15,2","","-9,8","","5,6","","-27,8","","65,0","","35,6","","100,6","","","",,"",,""
"1930-02","1930","02","-4,0","","-17,7","","-10,9","","6,1","","-40,0","","11,7","","22,4","","34,0","","","",,"",,""
"1930-03","1930","03","0,6","","-8,5","","-4,0","","6,1","","-23,9","","29,0","","12,2","","41,1","","","",,"",,""
"1930-04","1930","04","9,7","","-2,6","","3,6","","21,1","","-8,9","","48,0","","6,4","","54,4","","","",,"",,""
"1930-05","1930","05","18,9","","6,3","","12,6","","31,7","","-1,1","","94,2","","0,0","","94,2","","","",,"",,""
"1930-06","1930","06","24,8","","13,8","","19,3","","31,7","","2,2","","74,9","","0,0","","74,9","","","",,"",,""
"1930-07","1930","07","24,9","","13,2","","19,1","","30,6","","5,0","","114,6","","0,0","","114,6","","","",,"",,""
"1930-08","1930","08","23,8","","11,3","","17,6","","29,4","","3,9","S","54,9","","0,0","","54,9","","","",,"",,""
"1930-09","1930","09","19,8","","9,1","","14,5","","29,4","","1,1","","77,5","","0,0","","77,5","","","",,"",,""
"1930-10","1930","10","14,2","","2,1","","8,2","","27,2","","-7,8","","27,9","","0,0","","27,9","","","",,"",,""
"1930-11","1930","11","7,2","","-1,4","","2,9","","13,3","","-16,7","","35,8","","13,5","","49,3","","","",,"",,""
"1930-12","1930","12","-2,6","","-11,6","","-7,1","","3,3","","-32,8","","11,4","","35,6","","47,0","","","",,"",,""
"1931-01","1931","01","-6,9","","-18,3","","-12,6","","2,2","","-40,0","","9,7","","56,6","","66,3","","","",,"",,""
"1931-02","1931","02","-3,4","","-17,6","","-10,5","","3,9","S","-35,6","","3,8","","18,3","","22,1","","","",,"",,""
"1931-03","1931","03","4,7","","-5,3","","-0,3","","9,4","S","-17,8","","20,6","","12,2","","32,8","","","",,"",,""
"1931-04","1931","04","14,5","","-0,7","","6,9","","27,2","","-7,2","","54,4","","0,0","","54,4","","","",,"",,""
"1931-05","1931","05","19,7","","5,7","","12,7","","29,4","","-5,6","","67,6","","0,0","","67,6","","","",,"",,""
