,x,y,z,anatomy
0,0.04258371,-0.3705634,-0.07562799,Head
1,0.05513263,-0.3989227,-0.08662343,Head
2,0.03911124,-0.3986738,-0.09705403,Head
3,0.05965297,-0.3747043,-0.06802792,Head
4,0.07224154,-0.3793642,-0.05995895,Head
5,0.06691294,-0.4003994,-0.07582045,Head
6,0.05919345,-0.4226653,-0.09932222,Head
7,0.04895211,-0.4234444000000001,-0.1113356,Head
8,0.03480475,-0.4257742,-0.1229612,Head
9,0.02026246,-0.3990259,-0.1050012,Head
10,0.02213637,-0.3676338,-0.08140491,Head
11,0.01805338,-0.4282755999999999,-0.131831,Head
12,6.31135e-12,-0.4295691,-0.1355769,Head
13,6.028392e-30,-0.3993522,-0.1083539,Head
14,7.889619999999999e-13,-0.3664719,-0.08383758,Head
15,0.02364384,-0.3383332000000001,-0.0615744,Head
16,0.04495484,-0.3448372,-0.05855482,Head
17,5.569298e-30,-0.3355361,-0.06286427,Head
18,1.917464e-17,-0.3111529000000001,-0.04627042,Head
19,0.02475359,-0.3153576,-0.046042,Head
20,0.0466764,-0.3250705,-0.04559442,Head
21,0.06160019,-0.3531608,-0.05465558,Head
22,0.06293769,-0.3373906,-0.04516535,Head
23,0.07169995,-0.348438,-0.04518181,Head
24,0.07359274,-0.3608733,-0.05005911,Head
25,0.01041189,-0.5432395000000001,-0.29259250000000003,Head
26,0.01237435,-0.5593516,-0.3056369,Head
27,0.008814683,-0.5599356,-0.3066183,Head
28,0.01461603,-0.5445948,-0.2925806,Head
29,0.01760827,-0.5459510999999999,-0.2916095,Head
30,0.01487786,-0.5590371000000001,-0.3041042,Head
31,0.01312086,-0.5665628,-0.3097763,Head
32,0.01101331,-0.5700310000000001,-0.3131288,Head
33,0.0078037190000000015,-0.5726879,-0.315341,Head
34,0.004576875,-0.5597194000000001,-0.3064079,Head
35,0.005406303,-0.5419883000000001,-0.2919934,Head
36,0.004040313,-0.5736515999999999,-0.31574990000000003,Head
37,2.910418e-11,-0.5737101,-0.3155035,Head
38,7.179859e-30,-0.5594111999999999,-0.3060047,Head
39,-2.989233e-11,-0.5413888000000001,-0.29154109999999994,Head
40,0.006606838,-0.5225075,-0.27285479999999995,Head
41,0.01271567,-0.5241733000000001,-0.2731428,Head
