id;x;y;z
0; 4.258371e-02; -3.705634e-01;-7.562799e-02
1; 5.513263e-02; -3.989227e-01;-8.662343e-02
2; 3.911124e-02; -3.986738e-01;-9.705403e-02
3; 5.965297e-02; -3.747043e-01;-6.802792e-02
4; 7.224154e-02; -3.793642e-01;-5.995895e-02
5; 6.691294e-02; -4.003994e-01;-7.582045e-02
6; 5.919345e-02; -4.226653e-01;-9.932222e-02
7; 4.895211e-02; -4.234444e-01;-1.113356e-01
8; 3.480475e-02; -4.257742e-01;-1.229612e-01
9; 2.026246e-02; -3.990259e-01;-1.050012e-01
10; 2.213637e-02; -3.676338e-01;-8.140491e-02
11; 1.805338e-02; -4.282756e-01;-1.318310e-01
12; 6.311350e-12; -4.295691e-01;-1.355769e-01
13; 6.028392e-30; -3.993522e-01;-1.083539e-01
14; 7.889620e-13; -3.664719e-01;-8.383758e-02
15; 2.364384e-02; -3.383332e-01;-6.157440e-02
16; 4.495484e-02; -3.448372e-01;-5.855482e-02
17; 5.569298e-30; -3.355361e-01;-6.286427e-02
18; 1.917464e-17; -3.111529e-01;-4.627042e-02
19; 2.475359e-02; -3.153576e-01;-4.604200e-02
20; 4.667640e-02; -3.250705e-01;-4.559442e-02
21; 6.160019e-02; -3.531608e-01;-5.465558e-02
22; 6.293769e-02; -3.373906e-01;-4.516535e-02
23; 7.169995e-02; -3.484380e-01;-4.518181e-02
24; 7.359274e-02; -3.608733e-01;-5.005911e-02
25; 1.041189e-02; -5.432395e-01;-2.925925e-01
26; 1.237435e-02; -5.593516e-01;-3.056369e-01
27; 8.814683e-03; -5.599356e-01;-3.066183e-01
28; 1.461603e-02; -5.445948e-01;-2.925806e-01
29; 1.760827e-02; -5.459511e-01;-2.916095e-01
30; 1.487786e-02; -5.590371e-01;-3.041042e-01
31; 1.312086e-02; -5.665628e-01;-3.097763e-01
32; 1.101331e-02; -5.700310e-01;-3.131288e-01
33; 7.803719e-03; -5.726879e-01;-3.153410e-01
34; 4.576875e-03; -5.597194e-01;-3.064079e-01
35; 5.406303e-03; -5.419883e-01;-2.919934e-01
36; 4.040313e-03; -5.736516e-01;-3.157499e-01
37; 2.910418e-11; -5.737101e-01;-3.155035e-01
38; 7.179859e-30; -5.594112e-01;-3.060047e-01
39;-2.989233e-11; -5.413888e-01;-2.915411e-01
40; 6.606838e-03; -5.225075e-01;-2.728548e-01
41; 1.271567e-02; -5.241733e-01;-2.731428e-01
42; 6.909344e-30; -5.218084e-01;-2.725798e-01
43;-6.310985e-12; -5.028359e-01;-2.495884e-01
44; 8.256719e-03; -5.033261e-01;-2.493405e-01
45; 1.588377e-02; -5.046152e-01;-2.484362e-01
46; 1.782851e-02; -5.263740e-01;-2.729067e-01
47; 2.225150e-02; -5.065215e-01;-2.467148e-01
48; 2.673024e-02; -5.088633e-01;-2.440158e-01
49; 2.144734e-02; -5.286782e-01;-2.716095e-01
50; 2.488891e-02; -4.682117e-01;-1.861789e-01
51; 2.812472e-02; -4.868694e-01;-2.141046e-01
52; 2.007391e-02; -4.864439e-01;-2.186399e-01
53; 3.489880e-02; -4.668506e-01;-1.784333e-01
54; 4.198721e-02; -4.667447e-01;-1.700322e-01
55; 3.379214e-02; -4.881509e-01;-2.087399e-01
56; 1.043419e-02; -4.864934e-01;-2.217988e-01
57; 1.293137e-02; -4.698282e-01;-1.919119e-01
58; 6.656321e-30; -4.866370e-01;-2.230341e-01
59; 2.270823e-16; -4.707003e-01;-1.942752e-01
60; 1.554039e-02; -4.511493e-01;-1.613619e-01
61; 2.993159e-02; -4.484710e-01;-1.534777e-01
62; 6.410845e-30; -4.525148e-01;-1.646701e-01
63; 4.202439e-02; -4.458980e-01;-1.430579e-01
64; 5.066960e-02; -4.448482e-01;-1.321429e-01
65; 3.942718e-02; -3.888820e-01;-5.365168e-02
66; 4.983027e-02; -4.182247e-01;-6.392807e-02
67; 5.569252e-02; -3.918065e-01;-4.833508e-02
68; 3.483989e-02; -4.191164e-01;-7.188348e-02
69; 2.976830e-02; -4.469469e-01;-9.650666e-02
70; 4.269996e-02; -4.436502e-01;-8.720540e-02
71; 5.328863e-02; -4.393142e-01;-8.019437e-02
72; 6.190516e-02; -4.161637e-01;-5.801647e-02
73; 6.846728e-02; -3.932175e-01;-4.457697e-02
74; 5.896911e-02; -3.672051e-01;-3.888306e-02
75; 4.297070e-02; -3.598852e-01;-4.111227e-02
76; 7.097249e-02; -3.723050e-01;-3.756964e-02
77; 6.996247e-02; -3.575386e-01;-3.530819e-02
78; 6.146243e-02; -3.475001e-01;-3.410140e-02
79; 4.569101e-02; -3.358353e-01;-3.358437e-02
80; 2.258274e-02; -3.536502e-01;-4.331851e-02
81; 2.040324e-02; -3.860459e-01;-5.849582e-02
82; 2.426033e-02; -3.264372e-01;-3.345774e-02
83; 1.262250e-11; -3.223048e-01;-3.349202e-02
84; 5.679134e-30; -3.508038e-01;-4.441589e-02
85; 1.577771e-12; -3.846499e-01;-6.079977e-02
86; 1.790586e-02; -4.192902e-01;-7.897937e-02
87; 6.171160e-30; -4.191976e-01;-8.231243e-02
88; 5.820765e-11; -4.498016e-01;-1.086226e-01
89; 1.527464e-02; -4.490491e-01;-1.047588e-01
90; 8.710871e-03; -5.471789e-01;-2.776963e-01
91; 1.099057e-02; -5.599025e-01;-2.923758e-01
92; 1.248544e-02; -5.474204e-01;-2.779582e-01
93; 7.761119e-03; -5.611550e-01;-2.928872e-01
94; 7.249419e-03; -5.723079e-01;-3.042100e-01
95; 1.021135e-02; -5.694674e-01;-3.025793e-01
96; 1.219834e-02; -5.662421e-01;-3.005298e-01
97; 1.350980e-02; -5.591983e-01;-2.931109e-01
