x,y,z,anatomy
0.04258371,-0.3705634,-0.07562799,Head
0.05513263,-0.3989227,-0.08662343,Head
0.03911124,-0.3986738,-0.09705403,Head
0.05965297,-0.3747043,-0.06802792,Head
0.07224154,-0.3793642,-0.05995895,Head
0.06691294,-0.4003994,-0.07582045,Head
0.05919345,-0.4226653,-0.09932222,Head
0.04895211,-0.4234444,-0.1113356,Head
0.03480475,-0.4257742,-0.1229612,Head
0.02026246,-0.3990259,-0.1050012,Head
0.02213637,-0.3676338,-0.08140491,Head
0.01805338,-0.4282756,-0.131831,Head
6.31135E-12,-0.4295691,-0.1355769,Head
6.028392E-30,-0.3993522,-0.1083539,Head
7.88962E-13,-0.3664719,-0.08383758,Head
0.02364384,-0.3383332,-0.0615744,Head
0.04495484,-0.3448372,-0.05855482,Head
5.569298E-30,-0.3355361,-0.06286427,Head
1.917464E-17,-0.3111529,-0.04627042,Head
0.02475359,-0.3153576,-0.046042,Head
0.0466764,-0.3250705,-0.04559442,Head
0.06160019,-0.3531608,-0.05465558,Head
0.06293769,-0.3373906,-0.04516535,Head
0.07169995,-0.348438,-0.04518181,Head
0.07359274,-0.3608733,-0.05005911,Head
0.01041189,-0.5432395,-0.2925925,Head
0.01237435,-0.5593516,-0.3056369,Head
0.008814683,-0.5599356,-0.3066183,Head
0.01461603,-0.5445948,-0.2925806,Head
0.01760827,-0.5459511,-0.2916095,Head
0.01487786,-0.5590371,-0.3041042,Head
0.01312086,-0.5665628,-0.3097763,Head
0.01101331,-0.570031,-0.3131288,Head
0.007803719,-0.5726879,-0.315341,Head
0.004576875,-0.5597194,-0.3064079,Head
0.005406303,-0.5419883,-0.2919934,Head
0.004040313,-0.5736516,-0.3157499,Head
2.910418E-11,-0.5737101,-0.3155035,Head
7.179859E-30,-0.5594112,-0.3060047,Head
-2.989233E-11,-0.5413888,-0.2915411,Head
0.006606838,-0.5225075,-0.2728548,Head
0.01271567,-0.5241733,-0.2731428,Head
6.909344E-30,-0.5218084,-0.2725798,Head
-6.310985E-12,-0.5028359,-0.2495884,Head
0.008256719,-0.5033261,-0.2493405,Head
0.01588377,-0.5046152,-0.2484362,Head
0.01782851,-0.526374,-0.2729067,Head
0.0222515,-0.5065215,-0.2467148,Head
0.02673024,-0.5088633,-0.2440158,Head
0.02144734,-0.5286782,-0.2716095,Head
0.02488891,-0.4682117,-0.1861789,Head
0.02812472,-0.4868694,-0.2141046,Head
0.02007391,-0.4864439,-0.2186399,Head
0.0348988,-0.4668506,-0.1784333,Head
0.04198721,-0.4667447,-0.1700322,Head
0.03379214,-0.4881509,-0.2087399,Head
0.01043419,-0.4864934,-0.2217988,Head
0.01293137,-0.4698282,-0.1919119,Head
6.656321E-30,-0.486637,-0.2230341,Head
2.270823E-16,-0.4707003,-0.1942752,Head
0.01554039,-0.4511493,-0.1613619,Head
0.02993159,-0.448471,-0.1534777,Head
6.410845E-30,-0.4525148,-0.1646701,Head
0.04202439,-0.445898,-0.1430579,Head
0.0506696,-0.4448482,-0.1321429,Head
0.03942718,-0.388882,-0.05365168,Head
0.04983027,-0.4182247,-0.06392807,Head
0.05569252,-0.3918065,-0.04833508,Head
0.03483989,-0.4191164,-0.07188348,Head
0.0297683,-0.4469469,-0.09650666,Head
0.04269996,-0.4436502,-0.0872054,Head
0.05328863,-0.4393142,-0.08019437,Head
0.06190516,-0.4161637,-0.05801647,Head
0.06846728,-0.3932175,-0.04457697,Head
0.05896911,-0.3672051,-0.03888306,Head
0.0429707,-0.3598852,-0.04111227,Head
0.07097249,-0.372305,-0.03756964,Head
0.06996247,-0.3575386,-0.03530819,Head
0.06146243,-0.3475001,-0.0341014,Head
0.04569101,-0.3358353,-0.03358437,Head
0.02258274,-0.3536502,-0.04331851,Head
0.02040324,-0.3860459,-0.05849582,Head
0.02426033,-0.3264372,-0.03345774,Head
1.26225E-11,-0.3223048,-0.03349202,Head
5.679134E-30,-0.3508038,-0.04441589,Head
1.577771E-12,-0.3846499,-0.06079977,Head
0.01790586,-0.4192902,-0.07897937,Head
6.17116E-30,-0.4191976,-0.08231243,Head
5.820765E-11,-0.4498016,-0.1086226,Head
0.01527464,-0.4490491,-0.1047588,Head
0.008710871,-0.5471789,-0.2776963,Head
0.01099057,-0.5599025,-0.2923758,Head
0.01248544,-0.5474204,-0.2779582,Head
0.007761119,-0.561155,-0.2928872,Head
0.007249419,-0.5723079,-0.30421,Head
0.01021135,-0.5694674,-0.3025793,Head
0.01219834,-0.5662421,-0.3005298,Head
0.0135098,-0.5591983,-0.2931109,Head
0.01558076,-0.5476783,-0.2792964,Head
0.01476583,-0.5326774,-0.2575731,Head
0.01024852,-0.531643,-0.2575788,Head
0.01855481,-0.5333141,-0.2586504,Head
0.02286718,-0.5169775,-0.2303008,Head
0.01816121,-0.5167962,-0.2303746,Head
0.01258882,-0.5159271,-0.2317035,Head
0.00524565,-0.5306618,-0.2580647,Head
0.004471608,-0.5468844,-0.2778159,Head
0.006438813,-0.5149453,-0.2332948,Head
2.308914E-16,-0.5144262,-0.2341561,Head
6.969602E-30,-0.5301844,-0.2584276,Head
2.910419E-11,-0.5467239,-0.2779712,Head
0.004010781,-0.5619167,-0.2932192,Head
7.199743E-30,-0.562175,-0.2933404,Head
3.191632E-16,-0.574668,-0.3050893,Head
0.003757266,-0.5740623,-0.3049454,Head
0.02008604,-0.4862828,-0.1636042,Head
0.02300105,-0.5008997,-0.1955169,Head
0.02893661,-0.484041,-0.1572215,Head
0.01594651,-0.5014107,-0.1992386,Head
0.02895312,-0.4995403,-0.1933752,Head
0.03635625,-0.4808714,-0.1527789,Head
0.03561916,-0.4652734,-0.1197105,Head
0.02477182,-0.4687319,-0.1282202,Head
0.04462021,-0.4608398,-0.1134169,Head
0.01269362,-0.4709886,-0.1358238,Head
0.01028151,-0.4876142,-0.1694306,Head
6.549701E-30,-0.4718165,-0.1393991,Head
1.349446E-16,-0.4880522,-0.1722048,Head
0.008157001,-0.5014312,-0.2028355,Head
6.761942E-30,-0.5013188,-0.2046028,Head
0.0488147,-0.3135077,-0.0314011,Head
0.06562885,-0.3304924,-0.03821614,Head
0.04820015,-0.314839,-0.03650668,Head
0.06714936,-0.330581,-0.03395264,Head
0.0790821,-0.349745,-0.03706457,Head
0.07683806,-0.3480207,-0.0408895,Head
0.02543435,-0.3029407,-0.03534004,Head
0.02562189,-0.3008219,-0.02959261,Head
5.29876E-30,-0.2979302,-0.03489242,Head
1.577809E-12,-0.2955759,-0.02887413,Head
0.02525196,-0.3087409,-0.02892381,Head
0.04780867,-0.3204413,-0.03038716,Head
5.340974E-30,-0.3037982,-0.02835938,Head
0.06497487,-0.3357711,-0.03251949,Head
0.07581046,-0.3533708,-0.03515072,Head
0.0807968,-0.3879664,-0.04731309,Head
0.07303849,-0.4037308,-0.06675616,Head
0.07924682,-0.3838508,-0.05277532,Head
0.07395113,-0.4080479,-0.06023265,Head
0.06457305,-0.4289438,-0.08214857,Head
0.06422676,-0.4248163,-0.08928911,Head
0.08094536,-0.3655438,-0.04494783,Head
0.08306919,-0.3687028,-0.04055423,Head
0.07937537,-0.3718804,-0.03811076,Head
0.0770195,-0.391513,-0.04440831,Head
0.07009274,-0.4124818,-0.05705205,Head
0.06075334,-0.4340943,-0.07881287,Head
0.04497495,-0.4724979,-0.1562681,Head
0.03628172,-0.4906695,-0.2030928,Head
0.04518031,-0.4688938,-0.1623326,Head
0.03602043,-0.4938144,-0.1980551,Head
0.02847259,-0.5139296,-0.2360491,Head
