V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,ID,Species
4.44,3.72,3.53,1.58,1.53,4.39,0.93,6.98,1.67,1.25,5.39,1,Dragon de feu
5.57,4.1,3.5,1.64,1.59,5.32,1.39,7.85,1.52,0.97,4.44,2,Dragon de feu
3.87,4.246122448979592,3.45,1.72,2.63,3.99,1.58,6.4,0.83,1.44,5.2,3,Dragon de feu
4.36,3.82,3.85,1.69,1.84,4.52,1.39,7.14,1.52,1.34,5.22,4,Dragon de feu
4.75,4.17,3.35,1.58,1.83,4.05,1.19,7.13,1.53,1.22,4.75,5,Dragon de feu
3.99,4.43,3.16,1.9,3.22,2.92,1.16,5.99,1.92,1.12,5.08,6,Dragon de feu
4.7,3.41,2.92,2,2.17,3.57,1.58,6.22,0.7,1.86,4.74,7,Dragon de feu
4.26,4.48,3.053265306122449,1.46,3.21,1.36,1.2,6.85,1.42,1.18,5.07,8,Dragon de feu
3.68,4.93,2.76,1.53,2.78,3.74,0.8,6.47,1.78,0.95,5.06,9,Dragon de feu
4.25,1.57,0.51,0.98,2.96,0.81,1.57,1.07,0.86,1.13,8.01,11,Dragon de pierre
0.83,2.41,2.06,1.01,2.89,0.42,1.32,1.25,1.15,0.35,7.49,12,Dragon de pierre
1.58,1.74,1.45,1.08,3.19,0.64,1.87,1.19,0.44,1.01,7.96,13,Dragon de pierre
2.74,1.27,1.85,1.05,1.24,1.58,1.58,1.93,0.97,1.09,7.58,14,Dragon de pierre
1.84,1.28,1.41,1.3481632653061224,3.43,0.66,0.7,1.61,1.6577083333333333,1.5,7.9,15,Dragon de pierre
2.85,0.58,1.81,1.51,2.5,1.9,2.16,1.63,1.28,0.8,7.54,16,Dragon de pierre
1.07,1.6,0.84,1.11,2,1.03,1.9,1.4,2.12,0.67,7.81,17,Dragon de pierre
1.85,2.7,2.54,0.46,0.75,1.61,1.65,2.49,2.33,1.76,7.9,18,Dragon de pierre
3.8528571428571428,1.75,1.3,1.05,1.58,1.94,0.3,2.32,0.66,1.09,8.2,19,Dragon de pierre
1.99,1.03,1.42,0.9,2,0.53,1.18,3.343469387755102,0.77,1,7.74,20,Dragon de pierre
6.28,8.03,4.16,1.28,0.46,1.41,1.6614285714285715,3.18,1.78,1.46,1.58,21,Dragon de mer
5.58,7.64,3.04,1.45,0.36,1.79,1.05,3.36,1.79,1.16,1.67,22,Dragon de mer
5.9,8.09,2.82,1.83,1.23,1.6846938775510205,2.01,2.81,0.42,2.31,2.14,23,Dragon de mer
5.21,7.11,2.19,1.75,1.52,0.73,1.89,2.7,1.68,2.19,1.82,24,Dragon de mer
5.17,7.78,2.4,1.58,1.76,1.56,0.75,2.14,1.18,1.72,2.44,25,Dragon de mer
5.55,7.45,3.22,1.84,0.68,0.59,0.57,3.29,1.63,1.26,2.1,26,Dragon de mer
5.34,7.31,3.04,2.4,3.53,1.37,2.62,3.2,1.75,2.01,1.99,27,Dragon de mer
5.45,8.65,3.24,1.1,1.52,1.42,1.42,2.73,1.77,1.16,2.13,28,Dragon de mer
5.07,7.91,3.11,2.18,1.44,1.09,1.03,3.25,1.47,1.46,5.403265306122449,29,Dragon de mer
4.65,8.6,3.49,1.57,1.37,0.74,1.05,2.71,1.62,0.99,1.49,30,Dragon de mer
2.63,1.57,2.13,0.32,1.87,1.36,1.32,1.46,1.13,1.8,4.9,31,Dragon de saturne
1.58,0.83,1.7,1.92,2.06,1.68,3.12,1.33,1.28,1.34,7.09,32,Dragon de saturne
2.72,3.68,1.25,0.21,2.13,0.89,0.69,0.99,1.46,1.45,5.49,33,Dragon de saturne
1.99,1.57,1.42,0.95,2.22,0.33,0.46,1.88,1.65,0.93,5.72,34,Dragon de saturne
2.2,2.75,1.22,0.41,1.92,2.05,1.12,1.32,1.57,2.38,6.32,35,Dragon de saturne
1.06,2.39,1.02,1.02,3.52,0.89,0.35,1.26,0.83,0.95,5.4,36,Dragon de saturne
1.89,3.57,1.86,0.83,4.18,1.02,0.23,0.78,1.53,0.48,6.18,37,Dragon de saturne
0.7,2.49,0.23,0.81,3.2,0.67,1.15,1.4,1.64,0.68,5.76,38,Dragon de saturne
2.85,1.37,1.29,1.39,1.89,1.65,1.49,1.37,0.37,0.47,5.57,39,Dragon de saturne
1.62,2.02,1.23,0.23,3.58,1.1,1.36,0.44,0.94,1.49,5.78,40,Dragon de saturne
5.03,6.21,5.03,0.72,2.76,0.52,2.52,4,3.39,1.07,5.94,41,Dragon de caverne
3.29,6.46,4.61,1.31,1.38,1.48,3.52,5.31,2.32,2.45,6.56,43,Dragon de caverne
4.44,5.01,4.74,1.48,2.83,1.23,3.11,3.5,1.67,3.01,6.18,44,Dragon de caverne
3.83,4.85,5.32,1.84,3.95,0.81,2.25,3.33,3.52,2.43,6.01,45,Dragon de caverne
4.24,6.2,5.42,1.3,2.61,0.95,2.56,4.3,2.51,1.74,6.68,47,Dragon de caverne
4.46,5.4,5.12,1.72,3.39,1.72,3.12,3.65,3.13,2.11,5.9,48,Dragon de caverne
3.91,5.46,4.8,1.36,2.59,1.87,3.14,4.15,1.6577083333333333,2.23,5.58,49,Dragon de caverne
3.9,5.54,4.53,1.41,3.18,0.21,2.32,3.78,3.56,2.04,6.31,50,Dragon de caverne
