ID,CodeTourbiere,Ordre,Site,Traitement,DemiParcelle,SousTraitement,Latitude_m.x,Longitude_m.x,Rendement_g_5m2,TotalRamet_nombre_m2,TotalVegetatif_nombre_m2,TotalFloral_nombre_m2,TotalMale_nombre_m2,TotalFemelle_nombre_m2,FemelleFruit_nombre_m2,FemelleAvorte_nombre_m2,SterileFleur_nombre_m2,C_pourc,N_pourc,P_pourc,K_pourc,Ca_pourc,Mg_pourc,S_pourc,B_pourc,Cu_pourc,Zn_pourc,Mn_pourc,Fe_pourc,Al_pourc,Station,Longitude_m.y,Latitude_m.y,t_moy_C,prec_tot_mm
1,BEAU,A,1,NA,NA,NA,5702454,490627,NA,453.2722179781,255.9205500382,197.3516679399,10.1858925388,187.1657754011,157.8813343519,8.9126559715,0,51.47,1.725,0.1082829246,1.2133692551,0.4354812579,0.4703105225,0.09765,0.0025783999,1.745158e-4,0.004698245,0.1006017713,0.0132813646,0.0015582974,A,490640,5702453,13.8,687
2,BEAU,A,2,NA,NA,NA,5702452,490634,NA,460.9116373822,333.5879806468,127.3236567354,0,124.7771836007,71.3012477718,14.0056022409,2.5464731347,51.29,2.183,0.0984998343,1.2151552916,0.3367916534,0.4393829808,0.09961,0.0025783999,4.066941e-4,0.007287799,0.0782974209,0.01477312,0.0018902953,A,490640,5702453,13.8,687
3,BEAU,A,3,NA,NA,NA,5702461,490638,NA,651.8971224854,580.5958747135,71.3012477718,1.2732365674,70.0280112045,48.3829895595,19.0985485103,0,50.55,2.122,0.07076705,1.0494440254,0.3732162053,0.4204327141,0.1044,0.0025783999,3.7e-5,0.0071318135,0.0722007045,0.0147539376,0.0016017086,A,490640,5702453,13.8,687
4,BEAU,A,4,NA,NA,NA,5702453,490647,NA,590.7817672524,440.5398523046,150.2419149478,104.405398523,45.8365164248,39.470333588,3.8197097021,0,51.58,1.948,0.090898727,1.191573698,0.50045366040000006,0.3878006262,0.09224,0.0025783999,9.2940417065073e-5,0.0054967201,0.0310418686,0.0134552379,8.953445e-4,A,490640,5702453,13.8,687
5,BEAU,A,5,NA,NA,NA,5702445,490654,NA,564.0437993379,365.4188948307,198.6249045073,92.9462694169,105.6786350904,94.2195059842,2.5464731347,0,53.83,2.039,0.1152473024,0.9465649146,0.3326870889,0.4717096921,0.1062,0.0025783999,3.7e-5,0.0051011171,0.0345496366,0.0120110023,0.001020535,A,490640,5702453,13.8,687
6,BP,H,1,NA,NA,NA,5706394,484865,NA,207.5375604787,179.5263559969,28.0112044818,16.5520753756,11.4591291062,7.6394194041,1.2732365674,0,51.47,2.132,0.1512261525,0.7291942196,0.4131743239,0.4137170878,0.1464,0.0023906367,3.7e-5,0.0049725723,0.0507593021,0.0188335197,0.0033286327,B,484870,5701870,18.2,714
7,BP,H,2,NA,NA,NA,5706307,484054,NA,189.7122485358,143.875732111,45.8365164248,29.2844410491,16.5520753756,10.1858925388,6.3661828368,0,51.46,2.064,0.1618433389,0.8241397643,0.4353816175,0.4589245825,0.1437,0.0023906367,1.215601e-4,0.0055196148,0.0527503972,0.0127528697,0.0037381488,B,484870,5701870,18.2,714
8,BP,H,3,NA,NA,NA,5702280,484742,NA,213.9037433155,105.6786350904,108.2251082251,91.6730328495,15.2788388083,14.0056022409,1.2732365674,1.2732365674,51.24,1.774,0.1663597318,0.7779630469,0.4368196682,0.5112860024,0.1358,0.0023906367,3.7e-5,0.0059678559,0.0383209988,0.0170194289,0.0039439265,B,484870,5701870,18.2,714
9,BP,H,4,NA,NA,NA,5706324,484761,NA,211.3572701808,141.3292589763,70.0280112045,49.6562261268,20.3717850777,11.4591291062,7.6394194041,0,50.68,2.162,0.155963773,0.7543522345,0.5386457135,0.5725636501,0.146,0.0023906367,3.7e-5,0.0068126059,0.0283016339,0.0122884952,0.0035897835,B,484870,5701870,18.2,714
10,BP,H,5,NA,NA,NA,5706364,484780,NA,201.171377642,151.5151515152,49.6562261268,42.0168067227,7.6394194041,7.6394194041,0,0,50.92,2.142,0.1533291471,0.6484416875,0.5952349024,0.5364940812,0.1126,0.0023906367,3.7e-5,0.0061845059,0.0357280633,0.0118361552,0.0034660405,B,484870,5701870,18.2,714
